Designator,Footprint,Quantity,Value,LCSC Part #
BT1,battery solder pins,1,Battery_Cell,
"C1, C3, C5",CP_EIA-3528-12_Kemet-T,3,100uF,
"C2, C4",CP_EIA-3528-12_Kemet-T,2,22uF,
DCDC1,DCDC-Converter,1,~,
J1,PinHeader_1x05_P2.54mm_Vertical,1,output1,
J2,PinHeader_1x05_P2.54mm_Vertical,1,output2,
J3,PinHeader_1x05_P2.54mm_Vertical,1,output3,
"R1, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,100k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4k7,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10k,
U1,TP4056-18650,1,~,
U2,SK12D07VG4,1,SK12D07VG4,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
