Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-12_Kemet-T,1,10uF,
C2,CP_EIA-3528-12_Kemet-T,1,0.1uF,
C3,CP_EIA-3528-12_Kemet-T,1,tbd,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,17,D,
DSPL,PinHeader_1x04_P2.54mm_Vertical,1,Display,
ENC,PinHeader_1x05_P2.54mm_Vertical,1,Encoder input,
LVL SHIFTER,CONV_BOB-12009,1,BOB-12009,
PWR,PinHeader_1x05_P2.54mm_Vertical,1,pwr input,
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,6,10K,
SER,PinHeader_1x03_P2.54mm_Horizontal,1,UART Download,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",hotswap socket with neopixel,17,~,
SW18,tigmit pushbutton,1,SW_Push,
U3,ESP32-WROOM-32 tigmit,1,ESP32-WROOM-32,
